Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,non stop regreession model greedy,False,2,7.55272650718689,12.617599999999982,2
24147,non stop regreession model greedy,True,3,9.621445417404175,23.639628799999997,3
A Comparison of,non stop regreession model greedy,False,2,7.978811264038086,15.329757599999994,2
A Critical Look,non stop regreession model greedy,True,3,10.568236112594604,17.322757600000017,3
A Domain Generalization,non stop regreession model greedy,False,1,3.5688836574554443,5.070660800000013,1
A Knowledge Driven,non stop regreession model greedy,False,8,24.776026248931885,65.3878472,8
A Multilayer Convolutional,non stop regreession model greedy,True,8,22.30027151107788,44.298023549999996,8
A Natural Language,non stop regreession model greedy,True,5,20.403231143951416,23.821794949999997,5
A Question-Answering Approach,non stop regreession model greedy,False,4,14.74139142036438,20.956738950000016,5
A Student-Teacher Architecture,non stop regreession model greedy,False,5,19.394332885742188,39.66751520000001,6
A Unified Implicit,non stop regreession model greedy,True,5,15.359863519668579,29.85336669999998,5
Abusive Language Detection,non stop regreession model greedy,True,5,17.004462718963623,28.78299669800005,5
Accelerating the Development,non stop regreession model greedy,False,8,25.5737566947937,61.53676519999998,8
Accurate and Interpretable,non stop regreession model greedy,True,7,20.50307846069336,47.53677279999994,7
Action Branching Architectures,non stop regreession model greedy,True,3,8.304594039916992,8.450330899999983,3
AUPCR Maximizing Matchings,non stop regreession model greedy,True,7,25.930142164230347,61.204866400000014,7
Balanced Linear Contextual,non stop regreession model greedy,True,6,20.260571718215942,57.240143999999944,6
Beyond,non stop regreession model greedy,False,7,22.97873091697693,53.08510909999998,7
Bidirectional Temporal Plan,non stop regreession model greedy,True,5,19.399391889572144,27.535574240000003,5
BOK,non stop regreession model greedy,False,7,27.58975839614868,46.148537350000005,7
Capturing Delayed Feedback,non stop regreession model greedy,True,4,14.246258020401001,33.49856375,4
Cisco at AAAI-CAD21,non stop regreession model greedy,True,2,5.3996710777282715,10.197709200000006,2
Crowdsourcing real-time viral,non stop regreession model greedy,True,5,21.580384492874146,30.828022799999978,5
Deep Just-In-Time Inconsistency,non stop regreession model greedy,False,4,13.33072543144226,71.51651409375005,4
Deep Open Intent,non stop regreession model greedy,True,4,10.871711254119873,21.550505349999995,4
Deep Spiking Neural,non stop regreession model greedy,True,6,42.09741544723511,44.097894,6
Delving into Sample,non stop regreession model greedy,False,5,19.46377158164978,36.983522799999946,5
Detection of social,non stop regreession model greedy,True,8,20.487689971923828,37.12081399999991,8
Deterministic and Discriminative,non stop regreession model greedy,True,3,13.2348952293396,21.0771153485,3
Discriminative Sentence Modeling,non stop regreession model greedy,False,8,24.63363528251648,51.124147950000605,9
Evaluating Digital Agriculture,non stop regreession model greedy,False,5,16.804112434387207,36.102757600000004,5
Evaluating Sequence-to-Sequence Learning,non stop regreession model greedy,True,5,12.279484748840332,31.222265199999995,5
Evaluation of a,non stop regreession model greedy,False,10,30.843726873397827,66.99411139999995,10
Evaluation of Fake,non stop regreession model greedy,True,7,27.524763822555542,30.202372799999992,7
Evolutionarily-Curated Curriculum Learning,non stop regreession model greedy,True,2,4.0123748779296875,43.86748799999998,2
Expected Value of,non stop regreession model greedy,True,4,14.225640296936035,26.763088399999972,4
Explainable Failure Predictions,non stop regreession model greedy,True,7,22.67668056488037,102.62995789375003,7
Explaining Reward Functions,non stop regreession model greedy,False,3,10.436176061630249,17.911136400000004,3
Exploiting Cross-Lingual Subword,non stop regreession model greedy,True,1,4.133236408233643,0.0,1
Exploiting Language Models,non stop regreession model greedy,True,5,17.599196434020996,47.596658959999985,5
Exploiting Multiple Abstractions,non stop regreession model greedy,False,8,51.557332038879395,45.461843749999986,8
Exploring Gameplay With,non stop regreession model greedy,True,8,21.12522006034851,83.61732039999995,8
Exploring the Efficacy,non stop regreession model greedy,True,4,13.714772701263428,64.24806584775997,4
Fair Conformal Predictors,non stop regreession model greedy,True,4,24.44169330596924,40.0,4
Fast and Knowledge-Free,non stop regreession model greedy,True,5,19.884609937667847,35.16659560000002,5
Few-Shot Learning for,non stop regreession model greedy,True,3,7.15915584564209,22.005042924999998,3
Finding All Bayesian,non stop regreession model greedy,True,7,25.792823553085327,53.334687599999995,7
Fine-Grained Car Detection,non stop regreession model greedy,True,6,18.477412462234497,41.2168128,6
Fine-grained Retrieval Prompt,non stop regreession model greedy,False,2,13.742780447006226,11.659515199999959,3
Fixation Maximization in,non stop regreession model greedy,True,4,16.96263813972473,24.926236399999993,4
Forecasting with Sparse,non stop regreession model greedy,True,4,21.593586683273315,31.83888640000002,4
Frame and Feature-Context,non stop regreession model greedy,True,8,49.665016412734985,53.09617289999989,8
Game-theoretic Approach for,non stop regreession model greedy,False,12,50.944064140319824,80.75986559999986,12
Generalized Planning in,non stop regreession model greedy,False,3,17.559890270233154,22.641378799999984,4
Generative structured normalizing,non stop regreession model greedy,True,5,13.955021142959595,28.927839150000068,5
Geometric,non stop regreession model greedy,True,5,48.60895299911499,25.786574634999994,5
Harnessing the Power,non stop regreession model greedy,True,8,33.232035398483276,81.58152537499998,8
Hierarchical Average Reward,non stop regreession model greedy,True,5,16.636167526245117,43.29372188000002,5
Human Capabilities as,non stop regreession model greedy,True,4,9.42840576171875,26.405376549999964,4
Human in the,non stop regreession model greedy,False,7,24.32814121246338,58.67288639999998,7
Humans_ Assessment of,non stop regreession model greedy,True,10,23.70443558692932,70.96449560000046,10
Hyperbolic Graph Diffusion,non stop regreession model greedy,False,4,18.22188711166382,25.543336400000072,5
Identification of Abnormal,non stop regreession model greedy,True,6,21.104888916015625,42.419329589999975,6
Identifying Unsafe Videos,non stop regreession model greedy,True,2,6.37980318069458,9.118386400000006,2
Improving Model Robustness,non stop regreession model greedy,False,6,25.0436372756958,43.961876549999985,6
Improving Multi-Document Summarization,non stop regreession model greedy,True,4,10.569938659667969,26.108173999999963,4
Improving Neural Question,non stop regreession model greedy,True,4,11.615575790405273,34.81393080000001,4
Improving Pareto Front,non stop regreession model greedy,True,1,2.702026844024658,9.64562304889472,1
Improving Training and,non stop regreession model greedy,True,7,34.674044370651245,16.39707814999997,7
Information Retention in,non stop regreession model greedy,False,6,23.0775625705719,42.238765199999975,6
Integrated In-vehicle Monitoring,non stop regreession model greedy,True,4,10.603161096572876,42.64799739999995,4
Intelligent Frame Selection,non stop regreession model greedy,True,2,5.276326656341553,12.816015199999981,2
Interpretable Local Tree,non stop regreession model greedy,True,4,14.34511399269104,28.619618950000017,4
Interpretable NLG for,non stop regreession model greedy,True,6,17.860045909881592,48.98388639999999,6
Interpretable Rumor Detection,non stop regreession model greedy,True,2,5.120073556900024,27.99532449999998,2
Investigating the Effects,non stop regreession model greedy,True,6,21.07437229156494,43.80179120000007,6
Joint Word Representation,non stop regreession model greedy,True,1,1.584789514541626,3.92410000000001,1
Journey to the,non stop regreession model greedy,False,8,36.02772760391235,59.76316890000001,8
Keyword-Guided Neural Conversational,non stop regreession model greedy,False,7,25.508790016174316,45.26287429999999,7
Knowledge-driven Natural Language,non stop regreession model greedy,False,4,17.35617446899414,16.423625776000108,4
Knowledge-incorporating ESIM models,non stop regreession model greedy,True,6,19.31292414665222,44.20314399999998,6
Labeled Memory Networks,non stop regreession model greedy,True,6,19.883718729019165,23.847945475000017,6
Language Models are,non stop regreession model greedy,True,9,38.14042663574219,83.3515152,9
Learning 2D Temporal,non stop regreession model greedy,False,6,26.181092977523804,43.516643999999985,6
Learning a Wavelet-like,non stop regreession model greedy,True,7,17.567314386367798,34.653845375000046,7
Learning Binary Residual,non stop regreession model greedy,True,5,17.65935254096985,38.839886399999955,5
Learning Invariant Representation,non stop regreession model greedy,False,3,17.265610456466675,24.38229182968749,4
Learning Logistic Circuits,non stop regreession model greedy,False,7,38.95063233375549,56.46575760000002,7
Learning Markov Random,non stop regreession model greedy,False,8,52.70140314102173,110.89625838256015,9
Learning Occupational Task-Shares,non stop regreession model greedy,True,7,29.16978096961975,60.15255855000002,7
Learning Optical Flow,non stop regreession model greedy,True,5,19.63835310935974,46.67891455350001,5
Learning Rewards from,non stop regreession model greedy,True,7,21.794172525405884,60.403962425000046,7
Learning Scripts as,non stop regreession model greedy,False,6,22.829640865325928,29.388324399999973,6
Learning Sparse Sharing,non stop regreession model greedy,True,2,12.42858076095581,13.233886399999975,2
Learning the Joint,non stop regreession model greedy,True,4,12.1837477684021,42.60498759999996,4
Learning Transferable Adversarial,non stop regreession model greedy,False,6,22.927610635757446,46.26690854999998,6
Let There Be,non stop regreession model greedy,True,8,26.203084707260132,39.02537529550003,11
Local Differential Privacy,non stop regreession model greedy,False,5,21.68000078201294,37.97174240000001,6
Long-Term Trends in,non stop regreession model greedy,True,6,17.76549005508423,30.545707600000014,6
LTU Attacker for,non stop regreession model greedy,True,4,12.703205108642578,20.726864025000005,4
Open-Vocabulary Semantic Parsing,non stop regreession model greedy,False,7,26.75566840171814,51.93076519999998,7
Open-Vocabulary Video Relation,non stop regreession model greedy,True,3,9.337644815444946,23.639628799999997,3
Optimal Pricing for,non stop regreession model greedy,True,4,19.164690017700195,7.68825975,4
Order-Free RNN with,non stop regreession model greedy,True,3,6.887990951538086,46.000883999999985,3
Out of the,non stop regreession model greedy,True,5,14.108406782150269,31.284804137167285,5
Painterly Image Harmonization,non stop regreession model greedy,True,6,15.511283874511719,68.76345542500003,6
Parameterized Indexed Value,non stop regreession model greedy,False,7,75.06923389434814,50.72109349708329,8
Patch-wise Graph Contrastive,non stop regreession model greedy,True,4,13.406508445739746,50.23191759999999,4
Planning with Pixels,non stop regreession model greedy,True,1,1.3222057819366455,13.519798947196975,1
Playing Pairs with,non stop regreession model greedy,True,11,27.408619165420532,93.94816800000001,11
Pre-Training With Scientific,non stop regreession model greedy,True,4,11.486822605133057,25.839119224999976,4
Predicting Depression Severity,non stop regreession model greedy,True,9,21.72717571258545,60.70356580000052,9
Predicting the Argumenthood,non stop regreession model greedy,True,6,17.13131809234619,41.31000534999997,6
Projective Quadratic Regression,non stop regreession model greedy,False,3,8.692967653274536,30.0,3
Provably Convergent Federated,non stop regreession model greedy,False,2,7.231397867202759,12.617599999999982,2
Provably Secure Federated,non stop regreession model greedy,True,2,6.946963310241699,11.559183096470584,2
Qualitative Analysis of,non stop regreession model greedy,True,6,18.277164459228516,53.3697586,6
Quantization-Based Regularization for,non stop regreession model greedy,True,5,19.02966856956482,21.61587890081391,5
Relevant Intrinsic Feature,non stop regreession model greedy,True,8,48.240540742874146,49.10285659499998,8
Representing Closed Transformation,non stop regreession model greedy,True,4,12.480781078338623,27.295709279999947,4
Responsive Planning and,non stop regreession model greedy,True,2,3.862821102142334,3.6843787999999904,2
Retrospective Reader for,non stop regreession model greedy,True,3,8.514139175415039,20.685408549999977,3
Revisiting Mahalanobis Distance,non stop regreession model greedy,True,1,2.639979124069214,6.202062087291736,1
Source-Target Inference Models,non stop regreession model greedy,True,7,22.431474208831787,42.08899550000005,7
Synchronous Speech Recognition,non stop regreession model greedy,False,5,19.733559608459473,26.63998789999998,5
Task-Driven Causal Feature,non stop regreession model greedy,True,5,18.611668825149536,32.73802654999999,5
That_s Mine! Learning,non stop regreession model greedy,True,10,31.051382303237915,80.16468655000003,10
The Complexity of,non stop regreession model greedy,False,7,39.897305488586426,47.19658310000001,7
Title-Guided Encoding for,non stop regreession model greedy,True,10,33.08709478378296,62.32461602000002,10
Token-Level Contrastive Learning,non stop regreession model greedy,False,11,43.32978439331055,288.0658788499999,11
Top-N Recommender System,non stop regreession model greedy,False,8,22.832614421844482,42.49396669999989,8
Topical Phrase Extraction,non stop regreession model greedy,True,6,15.709015607833862,57.39113435099996,9
Topological Pooling on,non stop regreession model greedy,True,4,35.64423322677612,25.576643999999973,4
Toward a Human-Level,non stop regreession model greedy,True,6,15.252479076385498,49.331250424999965,6
Towards an Integrative,non stop regreession model greedy,False,3,25.46880555152893,18.071886399999983,3
Towards Autonomous Satellite,non stop regreession model greedy,True,6,28.44705867767334,49.3045228,6
Towards Cognitive Robots,non stop regreession model greedy,True,4,13.323975801467896,28.59274774999998,4
Treatment effect estimation,non stop regreession model greedy,False,4,14.769255876541138,35.530757600000015,4
